Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Left.HipFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.HipAbduction.Pos,Main.HumanModel.BodyModel.Interface.Left.HipExternalRotation.Pos,Main.HumanModel.BodyModel.Interface.Left.KneeFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.AnklePlantarFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.SubTalarEversion.Pos
  1.600000000000000e+00, -4.519803238567172e-01, -5.355996383773465e-02,  3.378294569616550e-02,  2.737670986439274e-01, -2.479695482628578e-01,  1.340977278007053e-01
  1.610000000000000e+00, -4.537905188217179e-01, -4.064740420316526e-02,  3.059937330497389e-02,  2.911848028935332e-01, -2.283770231048980e-01,  1.158332850727511e-01
  1.620000000000000e+00, -4.540025840734903e-01, -2.746779062789129e-02,  2.720873193337494e-02,  3.110970194326620e-01, -2.050185517653467e-01,  9.761782587010132e-02
  1.630000000000000e+00, -4.525067149408363e-01, -1.436988790839600e-02,  2.359539075483885e-02,  3.339496545255391e-01, -1.779448904635945e-01,  7.949483889222837e-02
  1.640000000000000e+00, -4.491360317829894e-01, -1.676171067165777e-03,  1.980702019939449e-02,  3.602134120618236e-01, -1.473539174035968e-01,  6.143988255107492e-02
  1.650000000000000e+00, -4.436550855734981e-01,  1.034764167288604e-02,  1.594349788831069e-02,  3.903462722745047e-01, -1.136284728920458e-01,  4.342928793032114e-02
  1.660000000000000e+00, -4.357671785902553e-01,  2.151814569580091e-02,  1.214365214050265e-02,  4.247465382475032e-01, -7.737781876530457e-02,  2.551800804065923e-02
  1.670000000000000e+00, -4.251522130085070e-01,  3.174669660912932e-02,  8.554507163868441e-03,  4.636924643932921e-01, -3.946914109980205e-02,  7.935707650155074e-03
  1.680000000000000e+00, -4.115276972656567e-01,  4.103561163162084e-02,  5.290605284255552e-03,  5.072783138207990e-01, -1.032664086476769e-03, -8.832237461222015e-03
  1.690000000000000e+00, -3.947182496691019e-01,  4.945705499844855e-02,  2.400026741860121e-03,  5.553613553662361e-01,  3.657996974202540e-02, -2.402374603230104e-02
  1.700000000000000e+00, -3.747151259216226e-01,  5.711728222732848e-02, -1.492229707530264e-04,  6.075339626957543e-01,  7.189531249124932e-02, -3.666768531147484e-02
  1.710000000000000e+00, -3.517055584231344e-01,  6.411634472299932e-02, -2.454868461580240e-03,  6.631324372184815e-01,  1.034570480808114e-01, -4.572992806243981e-02
  1.720000000000000e+00, -3.260572529315478e-01,  7.051478323780125e-02, -4.643330539955483e-03,  7.212865917269284e-01,  1.299637123454832e-01, -5.028562257230496e-02
  1.730000000000000e+00, -2.982600066671384e-01,  7.631426186929580e-02, -6.826855961049504e-03,  7.809998330119401e-01,  1.503807501026423e-01, -4.965835444978563e-02
  1.740000000000000e+00, -2.688451841100217e-01,  8.145696597770202e-02, -9.070309356529136e-03,  8.412364995663472e-01,  1.640345014730838e-01, -4.350214533725136e-02
  1.750000000000000e+00, -2.383103102816855e-01,  8.584512561011759e-02, -1.137579951533355e-02,  9.009919288396843e-01,  1.706971726978630e-01, -3.183687135385228e-02
  1.760000000000000e+00, -2.070689922060682e-01,  8.937250508133610e-02, -1.368789334420024e-02,  9.593334803499961e-01,  1.706388408419837e-01, -1.505124316772696e-02
  1.770000000000000e+00, -1.754328675926169e-01,  9.195271416466566e-02, -1.591510068451714e-02,  1.015418420094164e+00,  1.646005676173168e-01,  6.122716996606999e-03
  1.780000000000000e+00, -1.436208967218544e-01,  9.353463296253683e-02, -1.795271134431367e-02,  1.068501678311062e+00,  1.536705572108951e-01,  3.066215908345231e-02
  1.790000000000000e+00, -1.117845744174881e-01,  9.410790529085333e-02, -1.969535418012188e-02,  1.117942349540837e+00,  1.390996358571707e-01,  5.733057844466818e-02
  1.800000000000000e+00, -8.003317412522690e-02,  9.370396967251193e-02, -2.104578229758508e-02,  1.163211705262865e+00,  1.221187734953248e-01,  8.477753251942984e-02
  1.810000000000000e+00, -4.845458568023438e-02,  9.239420550758903e-02, -2.192784553889496e-02,  1.203897843180453e+00,  1.038046865254745e-01,  1.116548895049534e-01
  1.820000000000000e+00, -1.713316558643842e-02,  9.028162741786327e-02, -2.229374843862264e-02,  1.239699576830579e+00,  8.501147610277277e-02,  1.367348859508322e-01
  1.830000000000000e+00,  1.383717419345512e-02,  8.748868021244194e-02, -2.211791692292093e-02,  1.270409972413061e+00,  6.636467529364239e-02,  1.590133226950994e-01
  1.840000000000000e+00,  4.434961552975158e-02,  8.414654614843897e-02, -2.138385857862586e-02,  1.295895928289544e+00,  4.829997484818336e-02,  1.777821720478762e-01
  1.850000000000000e+00,  7.427934176816989e-02,  8.038406225100481e-02, -2.007600486494784e-02,  1.316076504509874e+00,  3.112044673515205e-02,  1.926660930370191e-01
  1.860000000000000e+00,  1.034930251386969e-01,  7.632136109603982e-02, -1.816824264021612e-02,  1.330907177885137e+00,  1.504305036569422e-02,  2.036194993632794e-01
  1.870000000000000e+00,  1.318395904816486e-01,  7.206025236442071e-02, -1.562591678028390e-02,  1.340366040852721e+00,  2.248000294571015e-04,  2.109059698919890e-01
  1.880000000000000e+00,  1.591668038214152e-01,  6.768487201004891e-02, -1.240823271722654e-02,  1.344451222192858e+00, -1.323045939823275e-02,  2.150495254385754e-01
  1.890000000000000e+00,  1.853376491796465e-01,  6.326408960216012e-02, -8.479368982607873e-03,  1.343180998839838e+00, -2.527037997943070e-02,  2.167668433567197e-01
  1.900000000000000e+00,  2.102409297171869e-01,  5.885609317979146e-02, -3.818901638929333e-03,  1.336593484723223e+00, -3.589117880590874e-02,  2.168833333647348e-01
  1.910000000000000e+00,  2.337916197133682e-01,  5.451477185092535e-02,  1.570778833221941e-03,  1.324745388998745e+00, -4.513109677467364e-02,  2.162437156124273e-01
