Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ThoraxClavicula.Pos[0],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ThoraxClavicula.Pos[1],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ThoraxClavicula.Pos[2],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ClaviculaScapula.Pos[0],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ClaviculaScapula.Pos[1],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ClaviculaScapula.Pos[2],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ScapulaHumerus.Pos[0],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ScapulaHumerus.Pos[1],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ScapulaHumerus.Pos[2],Main.HumanModel.BodyModel.Interface.Right.ElbowFlexion.Pos,Main.HumanModel.BodyModel.Interface.Right.ElbowPronation.Pos,Main.HumanModel.BodyModel.Interface.Right.WristFlexion.Pos,Main.HumanModel.BodyModel.Interface.Right.WristAbduction.Pos
  1.600000000000000e+00, -6.036229956449744e-02, -1.875150146163565e+00,  1.621053184707411e-01,  1.659816992770067e-01,  7.459186296937882e-01,  1.960690960267584e-01, -2.594995705531325e-01,  5.162511866933575e-01, -3.812347668678930e-01,  5.441203162396573e-01,  6.836199933382258e-01, -2.916883340640077e-01,  1.831223786178450e-02
  1.610000000000000e+00, -6.147359519155943e-02, -1.873738886495280e+00,  1.634228695781056e-01,  1.663026141544374e-01,  7.458286826733678e-01,  1.961037739674926e-01, -2.579740386085588e-01,  5.189910486213574e-01, -3.774077610929920e-01,  5.372412579387923e-01,  6.861015878814716e-01, -2.965536940464792e-01,  1.788114137646636e-02
  1.620000000000000e+00, -6.303439392881993e-02, -1.872122062143772e+00,  1.653071489705160e-01,  1.667980349510616e-01,  7.456677934697027e-01,  1.961711044641450e-01, -2.569295360790715e-01,  5.217095752737715e-01, -3.731193407990054e-01,  5.302066257814048e-01,  6.892512086152447e-01, -3.014282870016878e-01,  1.744205919986522e-02
  1.630000000000000e+00, -6.503848963749784e-02, -1.870358899456408e+00,  1.677617700811880e-01,  1.674760145160538e-01,  7.454319738185879e-01,  1.962729427485354e-01, -2.564856110793058e-01,  5.243580692350616e-01, -3.683822075056965e-01,  5.232025907068910e-01,  6.930078926402432e-01, -3.062711138972438e-01,  1.700489659996667e-02
  1.640000000000000e+00, -6.745553468017064e-02, -1.868521394458820e+00,  1.707613488450022e-01,  1.683365496683207e-01,  7.451211527483658e-01,  1.964091804849112e-01, -2.567343887858083e-01,  5.268752368185344e-01, -3.632345258261281e-01,  5.164786580873507e-01,  6.972576444604739e-01, -3.110040548684672e-01,  1.657783310156532e-02
  1.650000000000000e+00, -7.023220769100000e-02, -1.866682819184699e+00,  1.742509105860095e-01,  1.693701391309301e-01,  7.447399976406316e-01,  1.965773443258483e-01, -2.577270120511451e-01,  5.291947534122687e-01, -3.577428860780567e-01,  5.103386760612575e-01,  7.018654231279000e-01, -3.155116216462879e-01,  1.617126575475801e-02
  1.660000000000000e+00, -7.329946281961720e-02, -1.864906739920522e+00,  1.781531390405609e-01,  1.705589064942191e-01,  7.442973894123246e-01,  1.967728786502003e-01, -2.594710844516010e-01,  5.312480884131437e-01, -3.519984724509205e-01,  5.051199177913673e-01,  7.066878294275890e-01, -3.196497545076555e-01,  1.579741219445296e-02
  1.670000000000000e+00, -7.658614603147941e-02, -1.863241743878823e+00,  1.823847701261925e-01,  1.718813803775800e-01,  7.438040631158606e-01,  1.969903294174375e-01, -2.619384317859922e-01,  5.329639337000447e-01, -3.461060837115746e-01,  5.011604927910113e-01,  7.115914168123563e-01, -3.232574270729884e-01,  1.546947703862319e-02
  1.680000000000000e+00, -8.003409767616523e-02, -1.861720220932461e+00,  1.868761463088742e-01,  1.733189521028439e-01,  7.432696336866452e-01,  1.972247809490827e-01, -2.650776739645618e-01,  5.342674010917976e-01, -3.401703973454473e-01,  4.987647561631294e-01,  7.164680217352113e-01, -3.261672682889563e-01,  1.520190949666464e-02
  1.690000000000000e+00, -8.360781680766988e-02, -1.860360109991258e+00,  1.915847814230122e-01,  1.748608386369096e-01,  7.427005323042954e-01,  1.974728012937674e-01, -2.688236514453909e-01,  5.350819711384970e-01, -3.342844291371954e-01,  4.981747141136414e-01,  7.212502274153675e-01, -3.282156068508764e-01,  1.501055308346406e-02
