Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Trunk.PelvisPosX.Pos,Main.HumanModel.BodyModel.Interface.Trunk.PelvisPosY.Pos,Main.HumanModel.BodyModel.Interface.Trunk.PelvisPosZ.Pos,Main.HumanModel.BodyModel.Interface.Trunk.PelvisRotVec.Pos[0],Main.HumanModel.BodyModel.Interface.Trunk.PelvisRotVec.Pos[1],Main.HumanModel.BodyModel.Interface.Trunk.PelvisRotVec.Pos[2],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.SacrumPelvis.Pos[0],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.SacrumPelvis.Pos[1],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.SacrumPelvis.Pos[2],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.L5Sacrum.Pos[0],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.L5Sacrum.Pos[1],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.L5Sacrum.Pos[2],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.L4L5.Pos[0],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.L4L5.Pos[1],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.L4L5.Pos[2],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.L3L4.Pos[0],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.L3L4.Pos[1],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.L3L4.Pos[2],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.L2L3.Pos[0],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.L2L3.Pos[1],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.L2L3.Pos[2],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.L1L2.Pos[0],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.L1L2.Pos[1],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.L1L2.Pos[2],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.T12L1.Pos[0],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.T12L1.Pos[1],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.T12L1.Pos[2],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[0],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[1],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[2],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[0],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[1],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[2],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[0],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[1],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[2],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[0],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[1],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[2],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[0],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[1],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[2],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[0],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[1],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[2],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[0],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[1],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[2],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[0],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[1],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[2],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[0],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[1],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[2],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[0],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[1],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[2],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[0],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[1],Main.Studies.MarkerTracking.JointAngleOutputs.ZeroVar[2],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.T1C7.Pos[0],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.T1C7.Pos[1],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.T1C7.Pos[2],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C7C6.Pos[0],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C7C6.Pos[1],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C7C6.Pos[2],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C6C5.Pos[0],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C6C5.Pos[1],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C6C5.Pos[2],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C5C4.Pos[0],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C5C4.Pos[1],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C5C4.Pos[2],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C4C3.Pos[0],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C4C3.Pos[1],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C4C3.Pos[2],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C3C2.Pos[0],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C3C2.Pos[1],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C3C2.Pos[2],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C2C1.Pos,Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C1C0.Pos
  1.600000000000000e+00, -3.269990802771607e-02,  8.818981093391951e-01, -3.242293876395799e-01,  3.678660521479983e-02,  1.166809985734236e-01,  1.321277888504192e-01,  6.071532165918825e-18,  1.604619215278547e-17,  2.775557561562891e-17, -1.791866796801920e-03, -3.455605573910437e-02, -7.033944556199788e-02, -2.777393536894524e-03, -3.748947166869328e-02, -7.204464424249860e-02, -3.090970227172915e-03, -3.663649256845795e-02, -6.906054655135566e-02, -2.792325760695980e-03, -3.524259989249392e-02, -6.351865083923997e-02, -2.478749071102499e-03, -3.386951158481408e-02, -5.328745875641206e-02, -1.985985701849837e-03, -3.022874713302355e-02, -3.751437096317203e-02,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  2.344240255877601e-02, -5.885645607593914e-03,  5.456737679026490e-03,  2.603113412918742e-02, -1.085774316909189e-02,  8.467351568246901e-03,  2.732549991451247e-02, -1.166645783252936e-02,  1.049010777541724e-02,  2.574349728823693e-02, -1.085774316873426e-02,  1.034898524921291e-02,  2.358622097985255e-02, -7.053789010126276e-03,  8.232147357564798e-03,  1.768966573562578e-02, -3.604271525310781e-03,  4.045512416513224e-03, -4.575006233126418e-02,  2.137938298552332e-02
  1.610000000000000e+00, -1.901397031767522e-02,  8.816400690620542e-01, -3.234202624487648e-01,  2.891377996452909e-02,  1.193568729082905e-01,  1.295581649466243e-01,  0.000000000000000e+00, -6.505213034913027e-18,  0.000000000000000e+00, -3.103138171543950e-04, -3.483272460039517e-02, -6.957940656483161e-02, -4.809864165414060e-04, -3.778962656828014e-02, -7.126618005728660e-02, -5.352913345222364e-04, -3.692981819464268e-02, -6.831432644539942e-02, -4.835723650055463e-04, -3.552476548650282e-02, -6.283231259478576e-02, -4.292674470054424e-04, -3.414068371430477e-02, -5.271167163984987e-02, -3.439311472887115e-04, -3.047076992437792e-02, -3.710901683437814e-02,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  2.305420710914529e-02, -5.759448583577415e-03,  5.735470819790834e-03,  2.560007047086048e-02, -1.062493695442305e-02,  8.899868513331856e-03,  2.687300215172695e-02, -1.141631156895070e-02,  1.102594821370111e-02,  2.531719676400876e-02, -1.062493695440667e-02,  1.087761707180904e-02,  2.319564396258812e-02, -6.902545248994676e-03,  8.652649943503413e-03,  1.739673297197366e-02, -3.526990566010640e-03,  4.252159400850393e-03, -4.485879682155752e-02,  2.260612737719618e-02
  1.620000000000000e+00, -5.180271918440227e-03,  8.817187463595466e-01, -3.224799394656002e-01,  2.038155512671585e-02,  1.211171781791506e-01,  1.270718193876282e-01,  0.000000000000000e+00, -2.385244779468110e-18,  0.000000000000000e+00,  1.237879956460408e-03, -3.499943893908106e-02, -6.882132460038536e-02,  1.918713932569652e-03, -3.797049305733071e-02, -7.048972034824390e-02,  2.135342924973753e-03, -3.710656951940383e-02, -6.757002778938639e-02,  1.929029598884510e-03, -3.569479203059538e-02, -6.214774160868849e-02,  1.712400606500470e-03, -3.430408584758925e-02, -5.213736712129809e-02,  1.371983618473000e-03, -3.061660733203299e-02, -3.670470645330198e-02,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  2.258869108222682e-02, -5.615885110670003e-03,  6.006653670528993e-03,  2.508314776611898e-02, -1.036009339752940e-02,  9.320669488575635e-03,  2.633037610807577e-02, -1.113174173333450e-02,  1.154727386635227e-02,  2.480598591236102e-02, -1.036009339750887e-02,  1.139192937487172e-02,  2.272727200912762e-02, -6.730488262373827e-03,  9.061762002762779e-03,  1.704545400688267e-02, -3.439074681834587e-03,  4.453208755699135e-03, -4.382756731091900e-02,  2.380983649193569e-02
  1.630000000000000e+00,  8.776424974402258e-03,  8.821437750973501e-01, -3.214201878712218e-01,  1.148203587946715e-02,  1.219927486114228e-01,  1.248508206553161e-01, -8.673617379884035e-19, -1.322726650432315e-17,  0.000000000000000e+00,  2.805766875516574e-03, -3.505148845174989e-02, -6.810944703745110e-02,  4.348938657113933e-03, -3.802696098137068e-02, -6.976058514741609e-02,  4.839947860354307e-03, -3.716175265715961e-02, -6.687109345485623e-02,  4.372320047751577e-03, -3.574787563954489e-02, -6.150489459728691e-02,  3.881310844530541e-03, -3.435510126398297e-02, -5.159806593722002e-02,  3.109724953762417e-03, -3.066213890452701e-02, -3.632503841969290e-02,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  2.206946984987131e-02, -5.463593626293831e-03,  6.268358872616521e-03,  2.450658921975668e-02, -1.007914854721337e-02,  9.726763767631277e-03,  2.572514890471205e-02, -1.082987133554420e-02,  1.205037955650218e-02,  2.423579817866846e-02, -1.007914854718813e-02,  1.188826682703593e-02,  2.220486537044240e-02, -6.547970987197982e-03,  9.456575885172186e-03,  1.665364902787364e-02, -3.345813908531072e-03,  4.647231577926410e-03, -4.272146598219829e-02,  2.497822461457001e-02
  1.640000000000000e+00,  2.282429269350021e-02,  8.829150131425537e-01, -3.202564254335855e-01,  2.514567794334848e-03,  1.220635624516264e-01,  1.230524176442043e-01,  0.000000000000000e+00, -4.336808689942017e-18,  0.000000000000000e+00,  4.346590996786808e-03, -3.498680847774387e-02, -6.748343707109376e-02,  6.737216045088324e-03, -3.795679041354549e-02, -6.911939918186992e-02,  7.497869469551068e-03, -3.709317864498503e-02, -6.625646548787312e-02,  6.773437636731858e-03, -3.568191063294524e-02, -6.093958862763992e-02,  6.012784212285750e-03, -3.429170632257626e-02, -5.112381596266549e-02,  4.817471688167988e-03, -3.060555852991784e-02, -3.599116643758611e-02,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  2.152081218887961e-02, -5.312929052984324e-03,  6.521048819213094e-03,  2.389734359619662e-02, -9.801204995938763e-03,  1.011886885712629e-02,  2.508560929986966e-02, -1.053122578182702e-02,  1.253615419513908e-02,  2.363328455095165e-02, -9.801204995908476e-03,  1.236750638084606e-02,  2.165284171153422e-02, -6.367403521467814e-03,  9.837789166619013e-03,  1.623963128369818e-02, -3.253549428518296e-03,  4.834570676254081e-03, -4.161961983014165e-02,  2.610884529288011e-02
  1.650000000000000e+00,  3.692471252467804e-02,  8.840205629747236e-01, -3.190067382274334e-01, -6.244012663790144e-03,  1.214542324845504e-01,  1.217793385502499e-01,  0.000000000000000e+00, -1.192622389734055e-18,  0.000000000000000e+00,  5.818616823908405e-03, -3.480629616161912e-02, -6.697160941997070e-02,  9.018856077130178e-03, -3.776095465577557e-02, -6.859516358768467e-02,  1.003711402133773e-02, -3.690179863975128e-02, -6.575394379402837e-02,  9.067344550659584e-03, -3.549781197941642e-02, -6.047739274871789e-02,  8.049086606463748e-03, -3.411478034386099e-02, -5.073606774207353e-02,  6.448966979887085e-03, -3.044765100714562e-02, -3.571819169026708e-02,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  2.096397094324128e-02, -5.174999763797769e-03,  6.767301399938772e-03,  2.327901067925582e-02, -9.546755289420578e-03,  1.050098493061001e-02,  2.443653054727923e-02, -1.025782395923426e-02,  1.300955355282776e-02,  2.302178404193525e-02, -9.546755289384840e-03,  1.283453713730844e-02,  2.109258426193843e-02, -6.202098953503057e-03,  1.020929090472161e-02,  1.581943819650745e-02, -3.169083824787621e-03,  5.017137244711070e-03, -4.060756198407494e-02,  2.720851115562291e-02
  1.660000000000000e+00,  5.103322373941567e-02,  8.854358351404581e-01, -3.176904346764589e-01, -1.456656809627155e-02,  1.203223293882647e-01,  1.210592376474241e-01, -1.734723475976807e-18, -1.756407519426517e-17,  0.000000000000000e+00,  7.189216037791131e-03, -3.451307973966183e-02, -6.658618805194363e-02,  1.114328485864941e-02, -3.744284749601268e-02, -6.820039867133740e-02,  1.240139766528348e-02, -3.659092921225907e-02, -6.537553008722395e-02,  1.120319499228589e-02, -3.519877006563438e-02, -6.012934557392566e-02,  9.945082185656628e-03, -3.382738941373349e-02, -5.044408185716096e-02,  7.968047775261583e-03, -3.019115283670642e-02, -3.551263362726669e-02,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  2.041469165564391e-02, -5.060646891441537e-03,  7.011157875133905e-03,  2.266907478320713e-02, -9.335798972729454e-03,  1.087938290930530e-02,  2.379626634700623e-02, -1.003115503412491e-02,  1.347834660419474e-02,  2.241858776904915e-02, -9.335798972688571e-03,  1.329702355569575e-02,  2.053993516276361e-02, -6.065050091205604e-03,  1.057717782844625e-02,  1.540495137213234e-02, -3.099056026783599e-03,  5.197927390102478e-03, -3.976907062247923e-02,  2.829095866856478e-02
  1.670000000000000e+00,  6.510167070223295e-02,  8.871243112562257e-01, -3.163269728618619e-01, -2.229456540312347e-02,  1.188417661607289e-01,  1.208429532327130e-01,  0.000000000000000e+00, -1.734723475976807e-18,  0.000000000000000e+00,  8.437619507798299e-03, -3.411155929440804e-02, -6.632256794341133e-02,  1.307831023715915e-02, -3.700724253373303e-02, -6.793038777229186e-02,  1.455489365104031e-02, -3.616523535067574e-02, -6.511670307156246e-02,  1.314862373303610e-02, -3.478927239299337e-02, -5.989128862740906e-02,  1.167204031915149e-02, -3.343384619587135e-02, -5.024436965369052e-02,  9.351694954503685e-03, -2.983991309742284e-02, -3.537203623600421e-02,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  1.988156355675421e-02, -4.979361846902812e-03,  7.257303852082526e-03,  2.207707364271812e-02, -9.185845646287966e-03,  1.126133356314091e-02,  2.317482868571828e-02, -9.870032770263241e-03,  1.395154102532135e-02,  2.183312807762721e-02, -9.185845646242582e-03,  1.376385213259044e-02,  2.000353633934257e-02, -5.967632137057106e-03,  1.094851874189193e-02,  1.500265225457168e-02, -3.049278416807790e-03,  5.380414924726280e-03, -3.917753991366871e-02,  2.937368189301823e-02
  1.680000000000000e+00,  7.908156188967420e-02,  8.890403654567850e-01, -3.149354177743864e-01, -2.934747952870554e-02,  1.171819723221797e-01,  1.210215542954447e-01,  0.000000000000000e+00,  4.336808689942017e-18,  0.000000000000000e+00,  9.556211299209621e-03, -3.360629409631986e-02, -6.616252294158145e-02,  1.481212751384287e-02, -3.645908606958238e-02, -6.776646289162813e-02,  1.648446449121615e-02, -3.562955081495506e-02, -6.495956797885025e-02,  1.489176260797238e-02, -3.427396881348755e-02, -5.974676314089369e-02,  1.321942563058713e-02, -3.293861937920379e-02, -5.012312344015978e-02,  1.059146752330036e-02, -2.939792012161338e-02, -3.528667890166598e-02,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  1.936510606529042e-02, -4.938284321387369e-03,  7.510180810169247e-03,  2.150358403563027e-02, -9.110066496163027e-03,  1.165372884289468e-02,  2.257282302081818e-02, -9.788609379989620e-03,  1.443767517745028e-02,  2.126597537227480e-02, -9.110066496114760e-03,  1.424344636338937e-02,  1.948391039701114e-02, -5.918401820214108e-03,  1.133001415275938e-02,  1.461293279782604e-02, -3.024123223063104e-03,  5.567892669507298e-03, -3.888800519874402e-02,  3.047435910253244e-02
  1.690000000000000e+00,  9.292848346809936e-02,  8.911339654943928e-01, -3.135342380615342e-01, -3.572031071022921e-02,  1.154858172911506e-01,  1.214585296712674e-01,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  1.054990122958017e-02, -3.300049717095082e-02, -6.608049852787420e-02,  1.635234690591095e-02, -3.580186387842348e-02, -6.768245000728630e-02,  1.819857962109414e-02, -3.498728206987705e-02, -6.487903491812046e-02,  1.644026274945292e-02, -3.365613618761476e-02, -5.967269260972704e-02,  1.459403003425029e-02, -3.234485815433909e-02, -5.006098373280298e-02,  1.169280719611088e-02, -2.886798458123965e-02, -3.524293254768412e-02,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  1.885811770383320e-02, -4.941561380302260e-03,  7.773126559868063e-03,  2.094060922934982e-02, -9.116111961082973e-03,  1.206174810965478e-02,  2.198185499212495e-02, -9.795105127813640e-03,  1.494316571348801e-02,  2.070922128208435e-02, -9.116111961034224e-03,  1.474213657831411e-02,  1.897381167750639e-02, -5.922329287768196e-03,  1.172669955099670e-02,  1.423035875819745e-02, -3.026130039463699e-03,  5.762835208074341e-03, -3.893201596711897e-02,  3.160724460364153e-02
