Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Left.HipFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.HipAbduction.Pos,Main.HumanModel.BodyModel.Interface.Left.HipExternalRotation.Pos,Main.HumanModel.BodyModel.Interface.Left.KneeFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.AnklePlantarFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.SubTalarEversion.Pos
  1.600000000000000e+00, -4.520032925036646e-01, -5.358722741316546e-02,  3.390125825777148e-02,  2.738590492228459e-01, -2.482006952929553e-01,  1.341017823072155e-01
  1.610000000000000e+00, -4.538095181193483e-01, -4.066992536102076e-02,  3.072828302735451e-02,  2.912840950771353e-01, -2.286103560563301e-01,  1.158164571395711e-01
  1.620000000000000e+00, -4.540190756560112e-01, -2.748658533106840e-02,  2.734176274879852e-02,  3.112011818146270e-01, -2.052530684870953e-01,  9.759371344446570e-02
  1.630000000000000e+00, -4.525200297004322e-01, -1.438451508927385e-02,  2.373159503092242e-02,  3.340589849746406e-01, -1.781801214141478e-01,  7.946404895836091e-02
  1.640000000000000e+00, -4.491454662639521e-01, -1.686118958129867e-03,  1.994528363678043e-02,  3.603281639204743e-01, -1.475892534338985e-01,  6.140321814159865e-02
  1.650000000000000e+00, -4.436599386065008e-01,  1.034294832793381e-02,  1.608252775308748e-02,  3.904665967571289e-01, -1.138631530419966e-01,  4.338778533388254e-02
  1.660000000000000e+00, -4.357667993196682e-01,  2.151931900723625e-02,  1.228198005840075e-02,  4.248724160982613e-01, -7.761093267924382e-02,  2.547294392968241e-02
  1.670000000000000e+00, -4.251460638160323e-01,  3.175433385248860e-02,  8.690516761799558e-03,  4.638236357393462e-01, -3.969965559884999e-02,  7.888562936814803e-03
  1.680000000000000e+00, -4.115154255410829e-01,  4.105022767142730e-02,  5.422602536710735e-03,  5.074142264058987e-01, -1.259483372160690e-03, -8.879869420977115e-03
  1.690000000000000e+00, -3.946997536602093e-01,  4.947901804857757e-02,  2.526359208405652e-03,  5.555011543342457e-01,  3.635791088038771e-02, -2.407029987093336e-02
  1.700000000000000e+00, -3.746905967354961e-01,  5.714677070051799e-02, -3.001899854392706e-05,  6.076765350474945e-01,  7.167893947474828e-02, -3.671177671849628e-02
  1.710000000000000e+00, -3.516754840757382e-01,  6.415333544916169e-02, -2.343934606806684e-03,  6.632765060527820e-01,  1.032470488389404e-01, -4.577047091691676e-02
  1.720000000000000e+00, -3.260223798350154e-01,  7.055907154799135e-02, -4.541407714872832e-03,  7.214308383863850e-01,  1.297604751409704e-01, -5.032187644364022e-02
  1.730000000000000e+00, -2.982212661763064e-01,  7.636550432945199e-02, -6.734279436196909e-03,  7.811430175015742e-01,  1.501843477989769e-01, -4.968990136837335e-02
  1.740000000000000e+00, -2.688036026224405e-01,  8.151473174538304e-02, -8.987067733364268e-03,  8.413775542112094e-01,  1.638447205127359e-01, -4.352882422513123e-02
  1.750000000000000e+00, -2.382669245780556e-01,  8.590894366505686e-02, -1.130162952643244e-02,  9.011300129708015e-01,  1.705135770501189e-01, -3.185870755232076e-02
  1.760000000000000e+00, -2.070247846139724e-01,  8.944189897212529e-02, -1.362238076930128e-02,  9.594679971311570e-01,  1.704608553142680e-01, -1.506839792912693e-02
  1.770000000000000e+00, -1.753886473331184e-01,  9.202716501846608e-02, -1.585774175408575e-02,  1.015549006365471e+00,  1.644275815286105e-01,  6.109949687962497e-03
  1.780000000000000e+00, -1.435775918172257e-01,  9.361381801721924e-02, -1.790307292133667e-02,  1.068628170935826e+00,  1.535019028827487e-01,  3.065346289569609e-02
  1.790000000000000e+00, -1.117427536592371e-01,  9.419133685159586e-02, -1.965296165882817e-02,  1.118064755797862e+00,  1.389347591397503e-01,  5.732547969793554e-02
  1.800000000000000e+00, -7.999337600766521e-02,  9.379123784812937e-02, -2.101023410284941e-02,  1.163330162717569e+00,  1.219571533825845e-01,  8.477552499323815e-02
  1.810000000000000e+00, -4.841724787034335e-02,  9.248490847768398e-02, -2.189879037184151e-02,  1.204012586042118e+00,  1.036458540216305e-01,  1.116554368671176e-01
  1.820000000000000e+00, -1.709863994102772e-02,  9.037536579720218e-02, -2.227087813613612e-02,  1.239810905530251e+00,  8.485500256718742e-02,  1.367374530344350e-01
  1.830000000000000e+00,  1.386962226863688e-02,  8.758534141360075e-02, -2.210046638545741e-02,  1.270518445777964e+00,  6.621003933542750e-02,  1.590170804601153e-01
  1.840000000000000e+00,  4.437771202740177e-02,  8.424512480669466e-02, -2.137253044792442e-02,  1.296001471708303e+00,  4.814705082629174e-02,  1.777872995249734e-01
  1.850000000000000e+00,  7.430498755429284e-02,  8.048477652870845e-02, -2.006961669341455e-02,  1.316179929006033e+00,  3.096865559884183e-02,  1.926714382444601e-01
  1.860000000000000e+00,  1.035139353152326e-01,  7.642315353720464e-02, -1.816742461497475e-02,  1.331008435621687e+00,  1.489221340524512e-02,  2.036256567782361e-01
  1.870000000000000e+00,  1.318566877248221e-01,  7.216301183672669e-02, -1.562992141539388e-02,  1.340465720861425e+00,  7.450416386041008e-05,  2.109122265016638e-01
  1.880000000000000e+00,  1.591799792823382e-01,  6.778817867852660e-02, -1.241674170285486e-02,  1.344549701070581e+00, -1.338053782950695e-02,  2.150556981930490e-01
  1.890000000000000e+00,  1.853468258698854e-01,  6.336752947420554e-02, -8.492035201310415e-03,  1.343278650889721e+00, -2.542055724387919e-02,  2.167728066429828e-01
  1.900000000000000e+00,  2.102460709632389e-01,  5.895926269804863e-02, -3.835349915861067e-03,  1.336690682083895e+00, -3.604176709528650e-02,  2.168890073992568e-01
  1.910000000000000e+00,  2.337927373331359e-01,  5.461728317712589e-02,  1.550949086980809e-03,  1.324842501715876e+00, -4.528240770072037e-02,  2.162490531531066e-01
  1.920000000000000e+00,  2.559234679134735e-01,  5.039872460745598e-02,  7.636677345352685e-03,  1.307807417281111e+00, -5.321025649418295e-02,  2.156316696143305e-01
  1.930000000000000e+00,  2.765900746619003e-01,  4.637047065401712e-02,  1.436312812634460e-02,  1.285671317846224e+00, -5.990384694870302e-02,  2.156756836119960e-01
  1.940000000000000e+00,  2.957532332387564e-01,  4.261237912308968e-02,  2.164986241378394e-02,  1.258527460336662e+00, -6.543319970602507e-02,  2.168252994887542e-01
  1.950000000000000e+00,  3.133716947586617e-01,  3.921270945045152e-02,  2.940380481684842e-02,  1.226471342894962e+00, -6.984585127163523e-02,  2.193061759556295e-01
  1.960000000000000e+00,  3.293997084951545e-01,  3.626113065520409e-02,  3.753158175011644e-02,  1.189598418733832e+00, -7.315850137805932e-02,  2.231186723897562e-01
  1.970000000000000e+00,  3.437752193539735e-01,  3.383691277392997e-02,  4.594388425912823e-02,  1.148004196429075e+00, -7.535800006676623e-02,  2.280620615242821e-01
  1.980000000000000e+00,  3.564201534504169e-01,  3.200373562874859e-02,  5.456322271999964e-02,  1.101790394357873e+00, -7.640588364946038e-02,  2.337691944026935e-01
  1.990000000000000e+00,  3.672388611578479e-01,  3.080522694233179e-02,  6.332546694850294e-02,  1.051075611806326e+00, -7.624214952716689e-02,  2.397652882040525e-01
  2.000000000000000e+00,  3.761227050475010e-01,  3.026662639742672e-02,  7.218944954734409e-02,  9.960082245691255e-01, -7.479058246676856e-02,  2.455267581403006e-01
