Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Right.HipFlexion.Pos,Main.HumanModel.BodyModel.Interface.Right.HipAbduction.Pos,Main.HumanModel.BodyModel.Interface.Right.HipExternalRotation.Pos,Main.HumanModel.BodyModel.Interface.Right.KneeFlexion.Pos,Main.HumanModel.BodyModel.Interface.Right.AnklePlantarFlexion.Pos,Main.HumanModel.BodyModel.Interface.Right.SubTalarEversion.Pos
  1.600000000000000e+00,  3.410617820825297e-01,  7.281235314780510e-02,  1.509645098549007e-01,  2.096365377006442e-01, -9.910513191976576e-03,  2.136814842116754e-01
  1.610000000000000e+00,  3.422930533816442e-01,  6.263447583943349e-02,  1.414118501739865e-01,  2.265237023383548e-01,  3.458491904108796e-03,  2.315766771889193e-01
  1.620000000000000e+00,  3.435886354756947e-01,  5.109476752469355e-02,  1.306565802453656e-01,  2.456404686035350e-01,  1.800381067304067e-02,  2.482579335634630e-01
  1.630000000000000e+00,  3.444728600304376e-01,  3.849231402235143e-02,  1.190489111430125e-01,  2.660280990761545e-01,  3.269328120173443e-02,  2.629917058260179e-01
  1.640000000000000e+00,  3.444621354910932e-01,  2.516134192990460e-02,  1.069547957716127e-01,  2.868226713138148e-01,  4.640833142348515e-02,  2.755887841554497e-01
  1.650000000000000e+00,  3.431195150890347e-01,  1.144862823217063e-02,  9.476212086850840e-02,  3.072257535349495e-01,  5.814186795553818e-02,  2.863679145046816e-01
  1.660000000000000e+00,  3.401105085417918e-01, -2.308096318563324e-03,  8.286655818902361e-02,  3.265134851786718e-01,  6.712716893715735e-02,  2.959450029461857e-01
  1.670000000000000e+00,  3.352413387929820e-01, -1.580001876479953e-02,  7.166462613425836e-02,  3.440812462917608e-01,  7.289763328976406e-02,  3.049175076856888e-01
  1.680000000000000e+00,  3.284620049140232e-01, -2.876785757741773e-02,  6.154091828804398e-02,  3.594763290218256e-01,  7.528248336570610e-02,  3.136281489354919e-01
  1.690000000000000e+00,  3.198319663474346e-01, -4.101839609061897e-02,  5.284367826917066e-02,  3.723947854402161e-01,  7.436017763227486e-02,  3.221153368056731e-01
  1.700000000000000e+00,  3.094633123545799e-01, -5.242850873289195e-02,  4.585229611674849e-02,  3.826561969296502e-01,  7.039964201895813e-02,  3.302035128025136e-01
  1.710000000000000e+00,  2.974652319482181e-01, -6.293607662188361e-02,  4.074150608989126e-02,  3.901777012199180e-01,  6.380238058836682e-02,  3.376164573950215e-01
  1.720000000000000e+00,  2.839120397576358e-01, -7.252207732366012e-02,  3.755515306418052e-02,  3.949555628496507e-01,  5.504521218713448e-02,  3.440434297907358e-01
  1.730000000000000e+00,  2.688439487663090e-01, -8.118863049187786e-02,  3.620128628041920e-02,  3.970522172863215e-01,  4.463039855002423e-02,  3.491726542760787e-01
  1.740000000000000e+00,  2.522923509266291e-01, -8.894079007058742e-02,  3.646739853864465e-02,  3.965850463194414e-01,  3.305380368695648e-02,  3.527309919164099e-01
  1.750000000000000e+00,  2.343125157957602e-01, -9.577962445608068e-02,  3.804754894206803e-02,  3.937161262495201e-01,  2.078844780583861e-02,  3.545317343835396e-01
  1.760000000000000e+00,  2.150081903304898e-01, -1.017062185745965e-01,  4.057599212190687e-02,  3.886446990537559e-01,  8.269508213425930e-03,  3.545079779981146e-01
  1.770000000000000e+00,  1.945397329094241e-01, -1.067293365885031e-01,  4.366342008494981e-02,  3.816017672333809e-01, -4.125724580678929e-03,  3.527217099284926e-01
  1.780000000000000e+00,  1.731144503584724e-01, -1.108709993190944e-01,  4.693007305346606e-02,  3.728427044107299e-01, -1.609664549240802e-02,  3.493502636078052e-01
  1.790000000000000e+00,  1.509655516563536e-01, -1.141671428087918e-01,  5.003201136924246e-02,  3.626366877889974e-01, -2.743044607907710e-02,  3.446536044335137e-01
  1.800000000000000e+00,  1.283250501791789e-01, -1.166648493339530e-01,  5.268430503912284e-02,  3.512516018610749e-01, -3.800216537767630e-02,  3.389345924383796e-01
  1.810000000000000e+00,  1.053983134420728e-01, -1.184189014606525e-01,  5.467546435467099e-02,  3.389364010283859e-01, -4.776324889914615e-02,  3.325127320433166e-01
  1.820000000000000e+00,  8.234687122736639e-02, -1.194893787217512e-01,  5.586657499833286e-02,  3.259098545050120e-01, -5.672358673988579e-02,  3.257105238595361e-01
  1.830000000000000e+00,  5.928716741709440e-02, -1.199392820022678e-01,  5.617778499984720e-02,  3.123621268300788e-01, -6.493434367588953e-02,  3.188393020079967e-01
  1.840000000000000e+00,  3.629435021586475e-02, -1.198302483325342e-01,  5.557634593468058e-02,  2.984587392454705e-01, -7.247452330212965e-02,  3.121794342694599e-01
  1.850000000000000e+00,  1.341775552241201e-02, -1.192204505616012e-01,  5.405551853280628e-02,  2.843417552421386e-01, -7.943732006015675e-02,  3.059764920119918e-01
  1.860000000000000e+00, -9.316000345892913e-03, -1.181555532392700e-01,  5.163617666342304e-02,  2.701362692020511e-01, -8.592731061605595e-02,  3.004292038286673e-01
  1.870000000000000e+00, -3.188857017900029e-02, -1.166644523168343e-01,  4.836765160895822e-02,  2.559605264424919e-01, -9.205867453033810e-02,  2.956884672893836e-01
  1.880000000000000e+00, -5.428373144044475e-02, -1.147588615501987e-01,  4.434128019653175e-02,  2.419299423275416e-01, -9.795274623627286e-02,  2.918507275915662e-01
  1.890000000000000e+00, -7.646635558004472e-02, -1.124422430554319e-01,  3.968466362516486e-02,  2.281611152318984e-01, -1.037285256163577e-01,  2.889623628657895e-01
  1.900000000000000e+00, -9.837164511168071e-02, -1.097196645805312e-01,  3.455230321323067e-02,  2.147788209364234e-01, -1.094936518519171e-01,  2.870172094272972e-01
  1.910000000000000e+00, -1.199044938890079e-01, -1.066084999920121e-01,  2.910852389374828e-02,  2.019190041227747e-01, -1.153361820179911e-01,  2.859627072443553e-01
  1.920000000000000e+00, -1.409475866837258e-01, -1.031485712570583e-01,  2.350954698842652e-02,  1.897229088322605e-01, -1.213203065253854e-01,  2.857174416627612e-01
  1.930000000000000e+00, -1.613730978545034e-01, -9.940864070206179e-02,  1.788842948882428e-02,  1.783263550264559e-01, -1.274870458144961e-01,  2.861901209248588e-01
