Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ThoraxClavicula.Pos[0],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ThoraxClavicula.Pos[1],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ThoraxClavicula.Pos[2],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ClaviculaScapula.Pos[0],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ClaviculaScapula.Pos[1],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ClaviculaScapula.Pos[2],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ScapulaHumerus.Pos[0],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ScapulaHumerus.Pos[1],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ScapulaHumerus.Pos[2],Main.HumanModel.BodyModel.Interface.Left.ElbowFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.ElbowPronation.Pos,Main.HumanModel.BodyModel.Interface.Left.WristFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.WristAbduction.Pos
  1.600000000000000e+00, -2.358437841488553e+00,  3.117073760702537e-01, -1.379937759016595e+00,  3.287500119148456e-01,  7.136199588397241e-01,  2.043261629772205e-01, -4.287345738623968e-01,  2.987975339880954e-01,  7.815350433493139e-02,  9.525464633873214e-01,  6.424222273013254e-01, -8.735614700760896e-02,  3.992113570851914e-02
  1.610000000000000e+00, -2.362721733639242e+00,  3.080713887874943e-01, -1.383782432177413e+00,  3.249762001762912e-01,  7.135772727112384e-01,  2.045767923426765e-01, -4.307848346486812e-01,  2.963726904510956e-01,  7.153793986044107e-02,  9.529810930183009e-01,  6.431314244925690e-01, -8.417619656609077e-02,  4.065506160242929e-02
  1.620000000000000e+00, -2.367175048493145e+00,  3.040554560319174e-01, -1.388272605110591e+00,  3.208758714845076e-01,  7.135579080875780e-01,  2.048355097180594e-01, -4.331891807057101e-01,  2.944057844351169e-01,  6.342214764468075e-02,  9.520544814785175e-01,  6.428371580555479e-01, -8.179824714201445e-02,  4.135888061344863e-02
  1.630000000000000e+00, -2.371608125826439e+00,  2.997931499302959e-01, -1.393291805864106e+00,  3.165995109600486e-01,  7.135682717815653e-01,  2.050899448255724e-01, -4.360579801823494e-01,  2.929855312525180e-01,  5.385175153541563e-02,  9.495951747241358e-01,  6.414695548614895e-01, -8.045583283608071e-02,  4.201376017324624e-02
  1.640000000000000e+00, -2.375848194622791e+00,  2.954142344491066e-01, -1.398731045404633e+00,  3.122812337122354e-01,  7.136121924870311e-01,  2.053299746238253e-01, -4.394721535814546e-01,  2.921767403958161e-01,  4.294226095536183e-02,  9.454300027554200e-01,  6.389774657322979e-01, -8.031188877054252e-02,  4.259214165651592e-02
  1.650000000000000e+00, -2.379763979112246e+00,  2.910269368568243e-01, -1.404497955061689e+00,  3.080234924811606e-01,  7.136908310680083e-01,  2.055487150135377e-01, -4.434598348817635e-01,  2.920077243624818e-01,  3.088254206252979e-02,  9.393984107211846e-01,  6.353289421097487e-01, -8.143849980730256e-02,  4.305857533035895e-02
  1.660000000000000e+00, -2.383280766527764e+00,  2.867063612098821e-01, -1.410518502850718e+00,  3.038905991291819e-01,  7.138031736714185e-01,  2.057426905175475e-01, -4.479873677358272e-01,  2.924648808608921e-01,  1.792594123360521e-02,  9.313651119886136e-01,  6.305247101703975e-01, -8.381904026665610e-02,  4.337420542578049e-02
  1.670000000000000e+00, -2.386386254306881e+00,  2.824903186325865e-01, -1.416730817307240e+00,  2.999103750072016e-01,  7.139467171578662e-01,  2.059114128923518e-01, -4.529643040347199e-01,  2.934932390210103e-01,  4.369956513541026e-03,  9.212324348572971e-01,  6.246120597150907e-01, -8.736636337066561e-02,  4.350314384941095e-02
  1.680000000000000e+00, -2.389129161728037e+00,  2.783802294122970e-01, -1.423077130569183e+00,  2.960799045460306e-01,  7.141181381008008e-01,  2.060567116535748e-01, -4.582560443030705e-01,  2.950040547255530e-01, -9.471471116607981e-03,  9.089517732106361e-01,  6.177074177371142e-01, -9.194583596030337e-02,  4.341808221666848e-02
  1.690000000000000e+00, -2.391608953103923e+00,  2.743459361878912e-01, -1.429500765390204e+00,  2.923730071786614e-01,  7.143139758623872e-01,  2.061819396693821e-01, -4.636995131601200e-01,  2.968903460208074e-01, -2.329814689142790e-02,  8.945303033869093e-01,  6.100350873300423e-01, -9.739480093615738e-02,  4.310428244503920e-02
  1.700000000000000e+00, -2.393955459226563e+00,  2.703349614953960e-01, -1.435949222912652e+00,  2.887493755222520e-01,  7.145313081837334e-01,  2.062910657459660e-01, -4.691210343071906e-01,  2.990468690434666e-01, -3.685266653163549e-02,  8.780310381278537e-01,  6.019561588570492e-01, -1.035353653066551e-01,  4.256241197736645e-02
  1.710000000000000e+00, -2.396304089873328e+00,  2.662848818917435e-01, -1.442378380162375e+00,  2.851646602969480e-01,  7.147682170465365e-01,  2.063878063027915e-01, -4.743540509693021e-01,  3.013852297935447e-01, -4.994375880898666e-02,  8.595682841211386e-01,  5.939354303224474e-01, -1.101857070772674e-01,  4.181045298368757e-02
