Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Left.HipFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.HipAbduction.Pos,Main.HumanModel.BodyModel.Interface.Left.HipExternalRotation.Pos,Main.HumanModel.BodyModel.Interface.Left.KneeFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.AnklePlantarFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.SubTalarEversion.Pos
  1.600000000000000e+00, -4.523692707969917e-01, -5.337159835208172e-02,  3.795028972129727e-02,  2.765372378734398e-01, -2.558608819969194e-01,  1.351283057446669e-01
  1.610000000000000e+00, -4.541592680077752e-01, -4.038853145702492e-02,  3.489462150730012e-02,  2.941300276787644e-01, -2.362952149174151e-01,  1.166003296218630e-01
  1.620000000000000e+00, -4.543481153385559e-01, -2.713170822356492e-02,  3.160160958402723e-02,  3.142221250240061e-01, -2.129491551598332e-01,  9.813920355516810e-02
  1.630000000000000e+00, -4.528142796155117e-01, -1.394800846427335e-02,  2.805472343298730e-02,  3.372626715638733e-01, -1.858720446126841e-01,  7.978555767923885e-02
  1.640000000000000e+00, -4.493860263804195e-01, -1.157329637635263e-03,  2.429789800976590e-02,  3.637198407807050e-01, -1.552575536097927e-01,  6.152017650075721e-02
  1.650000000000000e+00, -4.438238222239880e-01,  1.097743008224583e-02,  2.042648944793278e-02,  3.940470589270677e-01, -1.214836181219190e-01,  4.332633747867280e-02
  1.660000000000000e+00, -4.358287028754039e-01,  2.227502121588398e-02,  1.657474664744580e-02,  4.286359264326943e-01, -8.515461314762132e-02,  2.526658290795477e-02
  1.670000000000000e+00, -4.250810495602206e-01,  3.264725101935428e-02,  1.288618218183726e-02,  4.677561264070706e-01, -4.713391542861011e-02,  7.577234332551170e-03
  1.680000000000000e+00, -4.113020428339940e-01,  4.209457186561139e-02,  9.474372622841081e-03,  5.114924096661762e-01, -8.550259064841489e-03, -9.252447774763662e-03
  1.690000000000000e+00, -3.943229601583345e-01,  5.068511991891245e-02,  6.390341543270841e-03,  5.596931105998679e-01,  2.924284815113125e-02, -2.446068981809859e-02
  1.700000000000000e+00, -3.741438086305255e-01,  5.851978643093081e-02,  3.609462818187145e-03,  6.119439367102496e-01,  6.476637642815790e-02, -3.708106256506732e-02
  1.710000000000000e+00, -3.509613298773586e-01,  6.569305422766702e-02,  1.044962347399513e-03,  6.675780475021866e-01,  9.655532310958695e-02, -4.608729725553503e-02
  1.720000000000000e+00, -3.251521901570826e-01,  7.226069608646557e-02, -1.417096198247277e-03,  7.257259657248024e-01,  1.232978846340251e-01, -5.056343682950829e-02
  1.730000000000000e+00, -2.972135896231245e-01,  7.822097355333657e-02, -3.877296335546095e-03,  7.853950365286902e-01,  1.439492358224096e-01, -4.984107566448637e-02
  1.740000000000000e+00, -2.676820454972139e-01,  8.351412495301935e-02, -6.391316797741175e-03,  8.455556493066846e-01,  1.578269217437644e-01, -4.358050352312386e-02
  1.750000000000000e+00, -2.370577199644422e-01,  8.804165074317938e-02, -8.955174516382466e-03,  9.052101830394543e-01,  1.646967135802736e-01, -3.180639498194974e-02
  1.760000000000000e+00, -2.057545613438251e-01,  9.169736726408351e-02, -1.151026712893047e-02,  9.634331330301147e-01,  1.648249973951292e-01, -1.491159546410071e-02
