Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Right.HipFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Right.HipAbduction.Pos[0],Main.HumanModel.BodyModel.Interface.Right.HipExternalRotation.Pos[0],Main.HumanModel.BodyModel.Interface.Right.KneeFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Right.AnklePlantarFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Right.SubTalarEversion.Pos[0]
  1.600000000000000e+00,  3.644369167044550e-01,  7.199301133332781e-02,  1.491005468304584e-01,  2.119749259367692e-01, -1.525353612270392e-02,  2.151173798899054e-01
  1.610000000000000e+00,  3.657199387963644e-01,  6.181950243748213e-02,  1.396471913847199e-01,  2.289511688975905e-01, -1.869735536370744e-03,  2.330151471215838e-01
  1.620000000000000e+00,  3.670368859980813e-01,  5.028477997753633e-02,  1.290098438205887e-01,  2.481586937595203e-01,  1.269863243943985e-02,  2.496839926818024e-01
  1.630000000000000e+00,  3.679089381453600e-01,  3.768715552102408e-02,  1.175304882480793e-01,  2.686292756383273e-01,  2.742143251709842e-02,  2.644012940186863e-01
  1.640000000000000e+00,  3.678521038375366e-01,  2.435836349731524e-02,  1.055677093237342e-01,  2.894923071313713e-01,  4.118011141455796e-02,  2.769865408151166e-01
  1.650000000000000e+00,  3.664350269082761e-01,  1.064287981381096e-02,  9.350297241106768e-02,  3.099454702777889e-01,  5.296637042003860e-02,  2.877655292224316e-01
  1.660000000000000e+00,  3.633321566199589e-01, -3.123410944623206e-03,  8.172707636718439e-02,  3.292635089638496e-01,  6.201120001512804e-02,  2.973587546067885e-01
  1.670000000000000e+00,  3.583588331475987e-01, -1.663278614283570e-02,  7.063378646909382e-02,  3.468425953876731e-01,  6.784484413517423e-02,  3.063645429614784e-01
  1.680000000000000e+00,  3.514718247181947e-01, -2.962616635341075e-02,  6.060682503860602e-02,  3.622323770550737e-01,  7.029298223021271e-02,  3.151226896803792e-01
  1.690000000000000e+00,  3.427338078580194e-01, -4.190978320203076e-02,  5.199461331596682e-02,  3.751319858804484e-01,  6.943069825236343e-02,  3.236662322780113e-01
  1.700000000000000e+00,  3.322567954899567e-01, -5.335950593460503e-02,  4.507702021604462e-02,  3.853641103915819e-01,  6.552411123522639e-02,  3.318135826094100e-01
  1.710000000000000e+00,  3.201479367269737e-01, -6.391201528948920e-02,  4.002928096920883e-02,  3.928486339911772e-01,  5.897271514404229e-02,  3.392831421447492e-01
