Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Trunk.PelvisPosX.Pos[0],Main.HumanModel.BodyModel.Interface.Trunk.PelvisPosY.Pos[0],Main.HumanModel.BodyModel.Interface.Trunk.PelvisPosZ.Pos[0],Main.HumanModel.BodyModel.Interface.Trunk.PelvisRotVec.Pos[0],Main.HumanModel.BodyModel.Interface.Trunk.PelvisRotVec.Pos[1],Main.HumanModel.BodyModel.Interface.Trunk.PelvisRotVec.Pos[2],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.SacrumPelvis.Pos[0],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.SacrumPelvis.Pos[1],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.SacrumPelvis.Pos[2],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.L5Sacrum.Pos[0],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.L5Sacrum.Pos[1],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.L5Sacrum.Pos[2],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.L4L5.Pos[0],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.L4L5.Pos[1],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.L4L5.Pos[2],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.L3L4.Pos[0],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.L3L4.Pos[1],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.L3L4.Pos[2],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.L2L3.Pos[0],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.L2L3.Pos[1],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.L2L3.Pos[2],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.L1L2.Pos[0],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.L1L2.Pos[1],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.L1L2.Pos[2],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.T12L1.Pos[0],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.T12L1.Pos[1],Main.HumanModel.BodyModel.Trunk.Joints.Lumbar.T12L1.Pos[2],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.T1C7.Pos[0],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.T1C7.Pos[1],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.T1C7.Pos[2],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C7C6.Pos[0],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C7C6.Pos[1],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C7C6.Pos[2],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C6C5.Pos[0],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C6C5.Pos[1],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C6C5.Pos[2],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C5C4.Pos[0],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C5C4.Pos[1],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C5C4.Pos[2],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C4C3.Pos[0],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C4C3.Pos[1],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C4C3.Pos[2],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C3C2.Pos[0],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C3C2.Pos[1],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C3C2.Pos[2],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C2C1.Pos[0],Main.HumanModel.BodyModel.Trunk.Joints.Cervical.C1C0.Pos[0]
  1.600000000000000e+00, -3.121072892990659e-02,  8.809289360979728e-01, -3.244333843658509e-01,  3.521579507456363e-02,  1.149671718309089e-01,  1.098181857897322e-01,  7.806255641895630e-18,  4.206704429243756e-17,  2.775557561562891e-17, -1.850561289777344e-04, -2.649857580513123e-02, -6.497845825523660e-02, -2.868370005439302e-04, -2.874800337193931e-02, -6.655369360702525e-02, -3.192218234062663e-04, -2.809391450496601e-02, -6.379703174160074e-02, -2.883791351214708e-04, -2.702503757602546e-02, -5.867751684857695e-02, -2.559943124537891e-04, -2.597211403407575e-02, -4.922610473856699e-02, -2.051038768637091e-04, -2.318027130926416e-02, -3.465517773580311e-02,  2.098926089108958e-02, -9.139628900640615e-03,  5.757862787353619e-03,  2.330709338226542e-02, -1.686063855715939e-02,  8.934614670022200e-03,  2.446600962797859e-02, -1.811646542900268e-02,  1.106899484124475e-02,  2.304955643910720e-02, -1.686063855715911e-02,  1.092008459678430e-02,  2.111802936315134e-02, -1.095360104885667e-02,  8.686430929267854e-03,  1.583852202229348e-02, -5.596956799201481e-03,  4.268760342398305e-03, -7.016831884717947e-02,  2.206195671912366e-02
  1.610000000000000e+00, -1.753053853283655e-02,  8.806725043796951e-01, -3.236088437243416e-01,  2.731300949339689e-02,  1.176065772056739e-01,  1.072286772357154e-01,  0.000000000000000e+00, -4.336808689942018e-19,  0.000000000000000e+00,  1.304900887898133e-03, -2.672428483900683e-02, -6.414946347800017e-02,  2.022596449003179e-03, -2.899287255690775e-02, -6.570460198987703e-02,  2.250954135551109e-03, -2.833321231731689e-02, -6.298310959832663e-02,  2.033470639910007e-03, -2.725523093626562e-02, -5.792890943773014e-02,  1.805112982131821e-03, -2.619333882612561e-02, -4.859807838128424e-02,  1.446265237323103e-03, -2.337771579379120e-02, -3.421304717508847e-02,  2.051886624085197e-02, -9.033575724505489e-03,  6.024202399362221e-03,  2.278475331764721e-02, -1.666499337416049e-02,  9.347900234802638e-03,  2.391769686360981e-02, -1.790624805078690e-02,  1.158100972396120e-02,  2.253298810223054e-02, -1.666499337101636e-02,  1.142521138478365e-02,  2.064474887072890e-02, -1.082649914053412e-02,  9.088236332933071e-03,  1.548356164489386e-02, -5.532011588754713e-03,  4.466219008643895e-03, -6.941332066303792e-02,  2.325112029075908e-02
  1.620000000000000e+00, -3.702930356446255e-03,  8.807545371709256e-01, -3.226509934190447e-01,  1.876113996521936e-02,  1.193298384690388e-01,  1.047515527039017e-01,  0.000000000000000e+00,  1.951563910473908e-18,  0.000000000000000e+00,  2.857631599944564e-03, -2.688598085607480e-02, -6.332810241630081e-02,  4.429329047872327e-03, -2.916829472553878e-02, -6.486332914450028e-02,  4.929414606994653e-03, -2.850464319310186e-02, -6.217668237405087e-02,  4.453142660238277e-03, -2.742013945573027e-02, -5.718719551023935e-02,  3.953057127886139e-03, -2.635182233796051e-02, -4.797583515442326e-02,  3.167208437245060e-03, -2.351916330146140e-02, -3.377498794420500e-02,  1.996634833935710e-02, -8.893201448236186e-03,  6.280069190149500e-03,  2.217122116921419e-02, -1.640603319586429e-02,  9.744934914736523e-03,  2.327365759116647e-02, -1.762799980433566e-02,  1.207289157873699e-02,  2.192623531353782e-02, -1.640603319324147e-02,  1.191047599510332e-02,  2.008884128771194e-02, -1.065826432178556e-02,  9.474242272384794e-03,  1.506663095779282e-02, -5.446048716123350e-03,  4.655913354729789e-03, -6.838962333873080e-02,  2.441144540096240e-02
  1.630000000000000e+00,  1.024738363164009e-02,  8.811845044429808e-01, -3.215722380060971e-01,  9.850191338655265e-03,  1.201721117276732e-01,  1.025678768053261e-01,  1.734723475976807e-18,  6.505213034913027e-18,  0.000000000000000e+00,  4.426945501430394e-03, -2.697944744002468e-02, -6.256137392000770e-02,  6.861765589767975e-03, -2.926969555751197e-02, -6.407801329008669e-02,  7.636481079400491e-03, -2.860373690204122e-02, -6.142389439527642e-02,  6.898656816792925e-03, -2.751546298890425e-02, -5.649481644412307e-02,  6.123941351751384e-03, -2.644343196683738e-02, -4.739498023377448e-02,  4.906531338203326e-03, -2.360092545791589e-02, -3.336606608054622e-02,  1.935758419831265e-02, -8.727176064135485e-03,  6.524365212295328e-03,  2.149523153996243e-02, -1.609975227174495e-02,  1.012401495318003e-02,  2.256405521728170e-02, -1.729890623235128e-02,  1.254252962754900e-02,  2.125771518196247e-02, -1.609975226958153e-02,  1.237379604347728e-02,  1.947634239625253e-02, -1.045928733567190e-02,  9.842792310371844e-03,  1.460725678948669e-02, -5.344377531561361e-03,  4.837029372239769e-03, -6.716291771946459e-02,  2.553293362839439e-02
  1.640000000000000e+00,  2.428884839071684e-02,  8.819620948683348e-01, -3.203886726702621e-01,  8.760474600665979e-04,  1.202158852575424e-01,  1.008330811593247e-01,  0.000000000000000e+00,  1.761828530288944e-18,  0.000000000000000e+00,  5.966709025468686e-03, -2.699900923572740e-02, -6.189126589798503e-02,  9.248399046435199e-03, -2.929091792473095e-02, -6.339166022433047e-02,  1.029257315044873e-02, -2.862447640615329e-02, -6.076597015454591e-02,  9.298121634943169e-03, -2.753541342548963e-02, -5.588968859363398e-02,  8.253947553282105e-03, -2.646260511330033e-02, -4.688732264138872e-02,  6.613102570655626e-03, -2.361803760899136e-02, -3.300867513567506e-02,  1.872076936043728e-02, -8.547236172532701e-03,  6.758564315350167e-03,  2.078809359090984e-02, -1.576780209094208e-02,  1.048742735787130e-02,  2.182175571216019e-02, -1.694223148660381e-02,  1.299275721881612e-02,  2.055839091103290e-02, -1.576780208916257e-02,  1.281796676152054e-02,  1.883562071795556e-02, -1.024363418408308e-02,  1.019610992660586e-02,  1.412671553109442e-02, -5.234185333968230e-03,  5.010659742688240e-03, -6.582319338924995e-02,  2.661576706148648e-02
  1.650000000000000e+00,  3.838309502686400e-02,  8.830750035932060e-01, -3.191191383789189e-01, -7.888417907014349e-03,  1.195877387688061e-01,  9.964350934861697e-02,  0.000000000000000e+00, -2.818925648462312e-18,  0.000000000000000e+00,  7.435555918150457e-03, -2.693980614638108e-02, -6.134672677821124e-02,  1.152511172468320e-02, -2.922668916387254e-02, -6.283392015542318e-02,  1.282633403263712e-02, -2.856170900855585e-02, -6.023133174501458e-02,  1.158707470272597e-02, -2.747503411108701e-02, -5.539795326670186e-02,  1.028585241493643e-02, -2.640457823939293e-02, -4.647479300477722e-02,  8.241074536894908e-03, -2.356624826778394e-02, -3.271825427142746e-02,  1.808171187380871e-02, -8.366614852016318e-03,  6.986040745627539e-03,  2.007846533869206e-02, -1.543459482126785e-02,  1.084040802821427e-02,  2.107684207673995e-02, -1.658420602050398e-02,  1.343006105011864e-02,  1.985660385426990e-02, -1.543459481979724e-02,  1.324938758182080e-02,  1.819264263253111e-02, -1.002716435811213e-02,  1.053928557882964e-02,  1.364448196733413e-02, -5.123575840643662e-03,  5.179306062465147e-03, -6.447241185762387e-02,  2.766850359083299e-02
  1.660000000000000e+00,  5.248586458223657e-02,  8.844980942997870e-01, -3.177836754633010e-01, -1.621996087913628e-02,  1.184463437792803e-01,  9.901813549684305e-02,  0.000000000000000e+00, -5.963111948670273e-18,  0.000000000000000e+00,  8.800999703807173e-03, -2.679857852317246e-02, -6.093931914626077e-02,  1.364154958742124e-02, -2.907347291950044e-02, -6.241663597414304e-02,  1.518172455569806e-02, -2.841197881492786e-02, -5.983133152359745e-02,  1.371489126242376e-02, -2.733100063633176e-02, -5.503005182867361e-02,  1.217471631223296e-02, -2.626615645820620e-02, -4.616615085868328e-02,  9.754441393251389e-03, -2.344270597806190e-02, -3.250097020032994e-02,  1.746015257369869e-02, -8.198472434932538e-03,  7.211395348827678e-03,  1.938826758814090e-02, -1.512440842943423e-02,  1.119009620760138e-02,  2.035232510063728e-02, -1.625091609069760e-02,  1.386328585079189e-02,  1.917403259767349e-02, -1.512440842820627e-02,  1.367678424632604e-02,  1.756727008466888e-02, -9.825650164428214e-03,  1.087926019812707e-02,  1.317545255669317e-02, -5.020608220300049e-03,  5.346379303398072e-03, -6.321215699054802e-02,  2.870598616985586e-02
  1.670000000000000e+00,  6.654916937481292e-02,  8.861942969219940e-01, -3.164023663043711e-01, -2.396325371810612e-02,  1.169655835115994e-01,  9.889965195060636e-02,  0.000000000000000e+00, -6.505213034913027e-18,  0.000000000000000e+00,  1.004226622015609e-02, -2.657410393188287e-02, -6.066317193961177e-02,  1.556551268311819e-02, -2.882994298698836e-02, -6.213379428922640e-02,  1.732290928970291e-02, -2.817398979524504e-02, -5.956020517445371e-02,  1.564919824448428e-02, -2.710206628070906e-02, -5.478068253230472e-02,  1.389180165401771e-02, -2.604614162274151e-02, -4.595694842862850e-02,  1.113017844319059e-02, -2.324634138622607e-02, -3.235369168921236e-02,  1.686713230605312e-02, -8.054309381499305e-03,  7.439677858722960e-03,  1.872976041970939e-02, -1.485845877709892e-02,  1.154432768996542e-02,  1.966107448154369e-02, -1.596515777474922e-02,  1.430213929891818e-02,  1.852280175115616e-02, -1.485845877606114e-02,  1.410973383656037e-02,  1.697061165551914e-02, -9.652874597318804e-03,  1.122365191750750e-02,  1.272795873504069e-02, -4.932325163566637e-03,  5.515623233664070e-03, -6.213115653400918e-02,  2.974654988676258e-02
  1.680000000000000e+00,  8.052467802913778e-02,  8.881175520581659e-01, -3.149947259305405e-01, -3.103981082441924e-02,  1.153135874705293e-01,  9.917365300759783e-02, -4.336808689942018e-18, -1.647987302177967e-17, -1.387778780781446e-17,  1.115167458943595e-02, -2.626722288984619e-02, -6.049882755314133e-02,  1.728509565112673e-02, -2.849701123418260e-02, -6.196546579604153e-02,  1.923663872035689e-02, -2.784863307013460e-02, -5.939884886713482e-02,  1.737802628094256e-02, -2.678908826076072e-02, -5.463227457062673e-02,  1.542648322593569e-02, -2.574535755147041e-02, -4.583244510479943e-02,  1.235977271372542e-02, -2.297788975529066e-02, -3.226604134883124e-02,  1.630354721486953e-02, -7.942548879656374e-03,  7.675540483619675e-03,  1.810393893804346e-02, -1.465228482416746e-02,  1.191032141942098e-02,  1.900413480439956e-02, -1.574362741717105e-02,  1.475556486420270e-02,  1.790389542366336e-02, -1.465228482328293e-02,  1.455705950649963e-02,  1.640356898681614e-02, -9.518932622483631e-03,  1.157947915487932e-02,  1.230267673370946e-02, -4.863884890703608e-03,  5.690486904292403e-03, -6.129414875542497e-02,  3.080868358994173e-02
  1.690000000000000e+00,  9.436814518973734e-02,  8.902175900305177e-01, -3.135794642316254e-01, -3.744533741338591e-02,  1.136307705000055e-01,  9.970165452736982e-02,  0.000000000000000e+00,  5.637851296924623e-18,  0.000000000000000e+00,  1.213406542881042e-02, -2.587996606037331e-02, -6.041994092105567e-02,  1.880780144791445e-02, -2.807688070461179e-02, -6.188466676052460e-02,  2.093126291208988e-02, -2.743806155837554e-02, -5.932139653705600e-02,  1.890891866674962e-02, -2.639413758408398e-02, -5.456103755095785e-02,  1.678545721493756e-02, -2.536579456335850e-02, -4.577268250413884e-02,  1.344858922206760e-02, -2.263912745714080e-02, -3.222396847758406e-02,  1.576060710155171e-02, -7.867663187954999e-03,  7.922417873122202e-03,  1.750104224772273e-02, -1.451413692037739e-02,  1.229340702485860e-02,  1.837125982533894e-02, -1.559518987651683e-02,  1.523016536470449e-02,  1.730766057489415e-02, -1.451413691962372e-02,  1.502527524705768e-02,  1.585729795227687e-02, -9.429184122323239e-03,  1.195192349389435e-02,  1.189297345802673e-02, -4.818026138507005e-03,  5.873516693478500e-03, -6.073501397638169e-02,  3.190749712422226e-02
